features,max_rank,rank_type,accuracy,perplexity,params,compression,train_time,final_loss
16384,16,uniform,0.33159998059272766,11.130686875939054,7848,534.4424057084608,10.460294288999648,2.4403423143892873
16384,32,uniform,0.3533499836921692,10.091097646657541,27304,153.61500146498682,9.210923313999956,2.311898591567059
16384,64,uniform,0.315449982881546,11.387875516051391,92840,45.17776820336062,9.305617423999138,2.3934294447606925
16384,128,uniform,0.2098499983549118,22.286731658248275,305832,13.714405294410003,9.768845114000214,3.1707335296942265
16384,64,hourglass,0.31929999589920044,11.175127692056666,43736,95.90049387232486,9.59155355799885,2.41248420793183
