Complexity,Loss,Equation
1,0.00028541475,"1.515055"
5,0.00017343946,"(L * -0.0005422362) + 1.5279483"
6,5.243567e-5,"(L ^ -2.169252) + 1.5050734"
8,4.9126076e-5,"(0.077488154 / (L + -2.5054781)) + 1.5026977"
13,4.7131634e-5,"(0.17253494 / (sin(exp(L)) + L)) + 1.4988171"
14,4.4060653e-5,"(0.15577008 / (sin(L ^ 2.0611777) + L)) + 1.499924"
16,3.6549707e-5,"(((0.66169673 ^ cos(L * -0.8586)) * 0.15341638) / L) + 1.4998581"
17,2.7046051e-5,"(0.18392994 / ((0.6287899 ^ sin(L / 1.4965844)) * L)) + 1.4987605"
20,2.4757648e-5,"1.4986043 + ((0.18604611 / L) * ((L ^ 0.1823776) ^ sin(L / 1.4944656)))"
